node_id,zone_id,x_coord,y_coord,production,attraction
0,0,-112.112503,33.505587,0,0
1,0,-112.112158,33.507587,0,0
2,0,-112.112194,33.520326,0,0
3,3,-112.112116,33.520667,100,100
4,0,-112.112719,33.481918,0,0
5,0,-112.112831,33.482818,0,0
6,0,-112.113436,33.493839,0,0
7,0,-112.113309,33.492626,0,0
8,0,-112.112487,33.513666,0,0
9,0,-112.11274,33.511327,0,0
10,0,-112.112116,33.512013,0,0
11,0,-112.112228,33.513646,0,0
12,0,-112.112973,33.491261,0,0
13,0,-112.112702,33.493319,0,0
14,0,-112.112873,33.507871,0,0
15,0,-112.112796,33.50719,0,0
16,0,-112.113058,33.499284,0,0
17,0,-112.113409,33.496426,0,0
18,0,-112.112719,33.497279,0,0
19,0,-112.112851,33.499322,0,0
20,0,-112.1116,33.475886,0,0
21,0,-112.111938,33.47683,0,0
22,0,-112.112795,33.490036,0,0
23,0,-112.113701,33.477666,0,0
24,0,-112.114324,33.478218,0,0
25,0,-112.110929,33.469074,0,0
26,0,-112.111322,33.469771,0,0
27,0,-112.110498,33.468314,0,0
28,0,-112.112459,33.471391,0,0
29,0,-112.111415,33.46838,0,0
30,0,-112.112906,33.474185,0,0
31,0,-112.112831,33.47657,0,0
32,0,-112.113429,33.476051,0,0
33,0,-112.113146,33.474169,0,0
34,0,-112.113514,33.476852,0,0
35,0,-112.112471,33.472198,0,0
36,0,-112.110757,33.467561,0,0
37,37,-112.110572,33.467044,0,0
38,38,-112.11034,33.467239,100,100
39,0,-112.11053,33.467608,0,0
40,0,-112.112519,33.473295,0,0
41,0,-112.112873,33.498071,0,0
42,0,-112.112633,33.47677,0,0
43,0,-112.113666,33.477495,0,0
44,0,-112.112634,33.476628,0,0
45,0,-112.115741,33.480093,0,0
46,46,-112.115883,33.480295,100,100
47,0,-112.115852,33.480026,0,0
48,0,-112.114973,33.47873,0,0
50,0,-112.114818,33.480513,0,0
51,0,-112.113042,33.476892,0,0
52,0,-112.11264,33.478978,0,0
54,0,-112.1128,33.48066,0,0
55,0,-112.11273,33.509418,0,0
56,0,-112.11249,33.509431,0,0
57,0,-112.112471,33.509515,0,0
58,0,-112.112799,33.509136,0,0
59,0,-112.112896,33.508863,0,0
60,0,-112.112104,33.509613,0,0
61,0,-112.112336,33.509521,0,0
62,0,-112.11202,33.509882,0,0
63,0,-112.11191,33.510111,0,0
