o_zone_id,d_zone_id,volume
38,3,7.617422633008411
38,37,8.670447056439086
38,93,8.67285923710738
38,103,8.461458417903584
38,107,7.223367678853837
38,157,7.704800223258126
38,171,8.703665384700535
38,183,7.9534394605413645
38,198,7.615627688521011
38,200,9.42735564043951
38,211,8.69421008494454
38,217,9.255346494282612
85,46,1900.0
103,3,90.0296683931398
103,37,87.38053412971868
103,93,87.40484402214305
103,107,85.37236649978283
103,157,91.06237667967827
103,171,87.7153075557586
103,183,94.00102261815269
103,198,90.0084540973379
103,200,93.58757009496033
103,211,103.31922110359173
103,217,90.11863480573608
110,3,0.0
110,37,0.0
110,93,0.0
110,103,0.0
110,107,0.0
110,157,0.0
110,171,0.0
110,183,0.0
110,198,0.0
110,200,0.0
110,211,0.0
110,217,0.0
128,3,8.985902600518394
128,37,7.407905545278701
128,93,7.409966477827225
128,103,8.285720519564364
128,107,8.595524728226112
128,157,9.138420084906528
128,171,7.436286808266764
128,183,9.485851724043167
128,198,8.98378519189947
128,200,7.934122701131716
128,211,8.696478670516083
128,217,7.640034947821481
141,46,47.11243168732896
141,85,52.88756831267104
142,3,0.0
142,37,0.0
142,93,0.0
142,103,0.0
142,107,0.0
142,157,0.0
142,171,0.0
142,183,0.0
142,198,0.0
142,200,0.0
142,211,0.0
142,217,0.0
157,3,49.95269839638177
157,37,40.54865726665431
157,93,40.55993819444815
157,103,45.35355364637823
157,107,47.78258494399329
157,171,40.704007803815415
157,183,52.307434675594536
157,198,49.94092770635483
157,200,43.42901244533454
157,211,47.60192079693418
157,217,41.81926412411071
168,3,89.20765225149401
168,37,88.442173015673
168,93,88.46677826366333
168,103,99.63517253236255
168,107,84.59287386623373
168,157,90.2309313921043
168,171,88.78101380626511
168,183,93.1427460155342
168,198,89.18663165287988
168,200,94.72462200983293
168,211,102.37586466337301
168,217,91.21354053058388
172,46,500.0
183,3,547.7331387542872
183,37,449.12585994090426
183,93,449.2508099821108
183,103,502.34595066497127
183,107,523.9377665143816
183,157,557.677794456059
183,171,450.84655671110636
183,198,547.6040727137982
183,200,481.0293083844077
183,211,527.2493604946907
183,217,463.19938138328274
185,46,753.7989069972633
185,85,846.2010930027367
197,3,8.985902600518395
197,37,7.407905545278701
197,93,7.409966477827227
197,103,8.285720519564368
197,107,8.595524728226112
197,157,9.138420084906528
197,171,7.436286808266765
197,183,9.485851724043167
197,198,8.983785191899472
197,200,7.934122701131717
197,211,8.696478670516083
197,217,7.640034947821482
200,3,141.28676202650274
200,37,166.585327218397
200,93,166.63167245334537
200,103,156.94180557963165
200,107,133.97789245009938
200,157,142.90742788618147
200,171,167.22355106626335
200,183,147.51914951972486
200,198,141.25346967725812
200,211,161.2588470484861
200,217,174.41409507411007
206,3,38.08711316504206
206,37,43.35223528219542
206,93,43.36429618553691
206,103,42.307292089517915
206,107,36.11683839426919
206,157,38.52400111629064
206,171,43.51832692350268
206,183,39.76719730270682
206,198,38.07813844260506
206,200,47.13677820219755
206,211,43.471050424722705
206,217,46.27673247141307
217,3,50.05294028060914
217,37,57.88399666888854
217,93,57.90010041265857
217,103,55.59897268177714
217,107,47.46366434860175
217,157,50.62708530542121
217,171,58.10576258129371
217,183,52.26085639765729
217,198,50.041145969913345
217,200,62.937126417532376
217,211,57.128348935646926
